iter	Logloss
0	0.6872502441
1	0.6817484207
2	0.676151919
3	0.6710260493
4	0.6658757884
5	0.660855011
6	0.6558596141
7	0.6508698908
8	0.6460607681
9	0.6412682419
10	0.6366022949
11	0.6322312291
12	0.6278770116
13	0.6236505508
14	0.6194839452
15	0.6153264236
16	0.6112230835
17	0.6072699814
18	0.6033959376
19	0.5998085632
20	0.5961152903
21	0.5924699504
22	0.589066302
23	0.5857406616
24	0.5824655838
25	0.5791305873
26	0.5761972249
27	0.5731174494
28	0.5699955088
29	0.5671191533
30	0.5642415848
31	0.5615655874
32	0.558789355
33	0.5561631953
34	0.553446551
35	0.5507668508
36	0.5482076289
37	0.545677358
38	0.5433175964
39	0.5408085098
40	0.5385101852
41	0.5362243398
42	0.5340325114
43	0.532104332
44	0.5300069148
45	0.5279148178
46	0.52591642
47	0.523946373
48	0.5220013529
49	0.5203456167
50	0.5185101496
51	0.5167877121
52	0.5150602773
53	0.5133808975
54	0.5115883738
55	0.5098942947
56	0.5082561696
57	0.5065742772
58	0.5050478948
59	0.5035704117
60	0.5020768738
61	0.5006116994
62	0.4991815135
63	0.497733724
64	0.4964071503
65	0.4950723445
66	0.4938103383
67	0.4925787074
68	0.4914138031
69	0.4902807592
70	0.4890892054
71	0.4879622523
72	0.4867643229
73	0.4856942952
74	0.4845557454
75	0.4835457077
76	0.4825438004
77	0.4815250498
78	0.4804490738
79	0.4794100266
80	0.4784662857
81	0.4775427678
82	0.4766357829
83	0.4757624308
84	0.4748932088
85	0.4741025441
86	0.4731968435
87	0.472319781
88	0.4714845276
89	0.4707209524
90	0.4699021937
91	0.4691514257
92	0.4683770167
93	0.4676627146
94	0.4669367065
95	0.466276385
96	0.4656075363
97	0.4649210434
98	0.4643726069
99	0.4636852493
100	0.4629421794
101	0.4623089625
102	0.4616312968
103	0.4610989583
104	0.4604883652
105	0.459870547
106	0.4592517039
107	0.4587114054
108	0.458104304
109	0.4574970551
110	0.4569260915
111	0.4564480794
112	0.4559754333
113	0.4554229813
114	0.4549457296
115	0.4544574127
116	0.4539646149
117	0.4534619141
118	0.4529294001
119	0.4524445521
120	0.4519933777
121	0.4515611471
122	0.4510871785
123	0.4506791967
124	0.4502182388
125	0.4498624954
126	0.4495217082
127	0.4491018041
128	0.4487410965
129	0.4483787867
130	0.447989591
131	0.4476302999
132	0.4472563222
133	0.4468921102
134	0.4465592295
135	0.4461871389
136	0.4458287252
137	0.4455031179
138	0.4452063878
139	0.4449154638
140	0.4446381785
141	0.4443134689
142	0.4439954885
143	0.4436957728
144	0.4434020208
145	0.4431067327
146	0.4428286972
147	0.4424849675
148	0.4422375031
149	0.441940239
150	0.4416774267
151	0.4414135259
152	0.4411511815
153	0.4409323832
154	0.4406476873
155	0.4404269384
156	0.4401758957
157	0.4399551544
158	0.439715711
159	0.4395197754
160	0.4393102671
161	0.4390887629
162	0.4388896306
163	0.4386660029
164	0.4384359283
165	0.4382463633
166	0.4380739568
167	0.4378966802
168	0.4376647237
169	0.4374519348
170	0.437262619
171	0.4370599823
172	0.4368259379
173	0.4366067022
174	0.4364185867
175	0.4362775472
176	0.4360804698
177	0.4359054006
178	0.4357187856
179	0.4355484695
180	0.4353749313
181	0.4352276891
182	0.4350689697
183	0.4349202957
184	0.4347512868
185	0.4345778529
186	0.4344278056
187	0.4342742462
188	0.4341491063
189	0.4340079244
190	0.4338825607
191	0.4337551651
192	0.4335993601
193	0.433456838
194	0.4333364868
195	0.4332085546
196	0.4330628738
197	0.432943601
198	0.4328379466
199	0.4327318039
200	0.4326057688
201	0.4324810588
202	0.4323612061
203	0.4322300924
204	0.4321109187
205	0.4320117162
206	0.4318903046
207	0.4317620544
208	0.431619634
209	0.4314804001
210	0.4313895874
211	0.4312336324
212	0.4311291835
213	0.4310129293
214	0.4309329554
215	0.4308244858
216	0.4307327118
217	0.4306317673
218	0.4305343424
219	0.4304594345
220	0.4303578466
221	0.4302737452
222	0.4301555888
223	0.4300813166
224	0.4299827169
225	0.4298850021
226	0.429790212
227	0.4297079646
228	0.4296263962
229	0.4295364176
230	0.4294554977
231	0.4293909734
232	0.4293108164
233	0.42920327
234	0.4291293106
235	0.4290514297
236	0.4289730504
237	0.4289120941
238	0.4288275528
239	0.4287517598
240	0.4286820119
241	0.4286163966
242	0.4285268784
243	0.4284393539
244	0.428352773
245	0.4282843781
246	0.4282176056
247	0.428161115
248	0.4280760371
249	0.4280069326
250	0.4279417063
251	0.427847524
252	0.4277706604
253	0.4277125905
254	0.4276585159
255	0.4275918274
256	0.4275286407
257	0.4274642588
258	0.4273687464
259	0.4273389867
260	0.4272880758
261	0.4272082062
262	0.4271553218
263	0.4270996145
264	0.4270405121
265	0.426990598
266	0.4269305267
267	0.426854159
268	0.4267942276
269	0.4267109807
270	0.4266649272
271	0.4265831706
272	0.4265270437
273	0.4264726817
274	0.426396642
275	0.4263501867
276	0.4263201116
277	0.4262831345
278	0.4262018255
279	0.4261449661
280	0.4260917155
281	0.426035586
282	0.4259581655
283	0.4259214605
284	0.4258765437
285	0.4258089396
286	0.4257407176
287	0.4256800893
288	0.4256451416
289	0.4255906677
290	0.4255318629
291	0.4254691137
292	0.4254124985
293	0.4253739395
294	0.4253113759
295	0.4252576955
296	0.4252012889
297	0.4251428808
298	0.4250886587
299	0.4250225601
300	0.4249822439
301	0.4249175822
302	0.4248600591
303	0.424802597
304	0.4247588882
305	0.4247046661
306	0.424653684
307	0.4246039022
308	0.4245651143
309	0.42452373
310	0.4244846675
311	0.4244277445
312	0.4243874156
313	0.4243289744
314	0.4242626623
315	0.4242231166
316	0.424177002
317	0.4241314723
318	0.424098203
319	0.4240567678
320	0.4239894002
321	0.4239356817
322	0.4238916143
323	0.4238288269
324	0.4237925237
325	0.4237598826
326	0.4237127202
327	0.4236811778
328	0.4236465505
329	0.4236026815
330	0.4235713476
331	0.4235060832
332	0.4234574051
333	0.4234223963
334	0.4233843079
335	0.4233425776
336	0.4233006337
337	0.4232663549
338	0.42323909
339	0.423195844
340	0.4231648254
341	0.4231261037
342	0.4230603587
343	0.4230227865
344	0.4229733785
345	0.4229441884
346	0.4228905741
347	0.4228483607
348	0.4227952296
349	0.4227630056
350	0.422723793
351	0.4226898015
352	0.4226533229
353	0.4225988846
354	0.4225816778
355	0.4225516917
356	0.422513649
357	0.4224907176
358	0.4224712855
359	0.4224367294
360	0.4224008916
361	0.422360522
362	0.4223360926
363	0.4223069433
364	0.4222703807
365	0.4222527033
366	0.4222247187
367	0.4221937688
368	0.4221426239
369	0.4220898056
370	0.4220498708
371	0.4220139135
372	0.4219624303
373	0.4219222107
374	0.4218918101
375	0.421868955
376	0.421836736
377	0.4217891261
378	0.4217571793
379	0.4217322388
380	0.4217097524
381	0.4216896286
382	0.4216476034
383	0.4216308797
384	0.421589208
385	0.4215712433
386	0.4215306854
387	0.4214810257
388	0.4214390157
389	0.4214092738
390	0.421385966
391	0.4213493576
392	0.4213276901
393	0.421296697
394	0.4212739512
395	0.4212459386
396	0.4212102381
397	0.4211741994
398	0.4211505458
399	0.4211313655
400	0.4210976817
401	0.4210515289
402	0.4210199076
403	0.4210005315
404	0.4209891739
405	0.4209626846
406	0.4209453303
407	0.4209211807
408	0.420900706
409	0.4208677063
410	0.4208257828
411	0.420795194
412	0.4207778142
413	0.4207565613
414	0.4207262421
415	0.4207060165
416	0.4206749344
417	0.4206351318
418	0.4206022313
419	0.4205696996
